Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Leblon;3;3;1;190;11000.0;1709.0;625.0;57.89;Apartamento
Apartamento;Ipanema;3;3;2;180;14000.0;4000.0;720.0;77.78;Apartamento
Casa;Urca;4;3;4;800;35000.0;0.0;0.0;43.75;Casa
Apartamento;Copacabana;4;2;0;389;11800.0;4829.0;1153.0;30.33;Apartamento
Apartamento;Leblon;4;3;4;304;30000.0;5525.0;1365.0;98.68;Apartamento
Quitinete;Copacabana;1;0;0;30;2700.0;400.0;25.0;90.0;Apartamento
Apartamento;Ipanema;6;6;4;600;30000.0;8000.0;1887.0;50.0;Apartamento
Apartamento;Ipanema;3;2;2;186;28000.0;2950.0;9800.0;150.54;Apartamento
Apartamento;Barra da Tijuca;5;4;5;340;10000.0;3500.0;11000.0;29.41;Apartamento
Apartamento;Barra da Tijuca;4;8;4;540;16000.0;1500.0;0.0;29.63;Apartamento
